year, month, day, mean_MO_par, stdev_MO_par, anomaly_MO_par, climato_MO_par, pct_valid_pixels
2012, 10, 01, 52.8879, 0.720233, 1.41600, 51.4719, 100.00
2012, 11, 01, 59.9149, 0.873674, 7.88493, 52.0300, 100.00
2012, 12, 01, 48.6783, 1.22198, -3.09867, 51.7769, 100.00
2013, 01, 01, 46.4243, 0.852928, -3.92693, 50.3512, 100.00
2013, 02, 01, 52.7687, 1.17818, 1.85933, 50.9093, 100.00
2013, 03, 01, 49.5484, 0.542604, -0.0238670, 49.5723, 100.00
2013, 04, 01, 39.7781, 0.438737, -3.25187, 43.0300, 100.00
2013, 05, 01, 40.2901, 0.438284, 2.99480, 37.2953, 100.00
2013, 06, 01, 36.7455, 0.284512, 2.37827, 34.3672, 100.00
2013, 07, 01, 37.9273, 1.05600, 1.62560, 36.3017, 100.00
2013, 08, 01, 41.8225, 0.458983, 0.656533, 41.1660, 100.00
2013, 09, 01, 49.5725, 1.00588, 2.04547, 47.5271, 100.00
2013, 10, 01, 54.2467, 1.02195, 2.77480, 51.4719, 100.00
2013, 11, 01, 52.7403, 1.42870, 0.710267, 52.0300, 100.00
2013, 12, 01, 55.1877, 1.00446, 3.41080, 51.7769, 100.00
2014, 01, 01, 51.9311, 0.722266, 1.57987, 50.3512, 100.00
2014, 02, 01, 45.9300, 1.69738, -4.97933, 50.9093, 100.00
2014, 03, 01, 45.4772, 0.843859, -4.09507, 49.5723, 100.00
2014, 04, 01, 45.1421, 0.477181, 2.11213, 43.0300, 100.00
2014, 05, 01, 39.3420, 0.523824, 2.04667, 37.2953, 100.00
2014, 06, 01, 33.5520, 0.684392, -0.815200, 34.3672, 100.00
2014, 07, 01, 38.8157, 0.292262, 2.51400, 36.3017, 100.00
2014, 08, 01, 39.5075, 0.428864, -1.65853, 41.1660, 100.00
2014, 09, 01, 46.3840, 1.46715, -1.14307, 47.5271, 100.00
2014, 10, 01, 49.0205, 0.789123, -2.45133, 51.4719, 100.00
2014, 11, 01, 50.6776, 1.04701, -1.35240, 52.0300, 100.00
2014, 12, 01, 45.2296, 1.00966, -6.54733, 51.7769, 100.00
2015, 01, 01, 53.5581, 0.915641, 3.20693, 50.3512, 100.00
2015, 02, 01, 55.4060, 0.795226, 4.49667, 50.9093, 100.00
2015, 03, 01, 51.0737, 0.937023, 1.50147, 49.5723, 100.00
2015, 04, 01, 47.5827, 0.300867, 4.55267, 43.0300, 100.00
2015, 05, 01, 37.1419, 0.820805, -0.153467, 37.2953, 100.00
2015, 06, 01, 36.9756, 0.204891, 2.60840, 34.3672, 100.00
2015, 07, 01, 32.4143, 0.557190, -3.88747, 36.3017, 100.00
2015, 08, 01, 38.8420, 0.551989, -2.32400, 41.1660, 100.00
2015, 09, 01, 43.4232, 1.36046, -4.10387, 47.5271, 100.00
2015, 10, 01, 46.0627, 2.00974, -5.40920, 51.4719, 100.00
2015, 11, 01, 52.2864, 0.949359, 0.256401, 52.0300, 100.00
2015, 12, 01, 55.3541, 0.657289, 3.57720, 51.7769, 100.00
2016, 01, 01, 47.7717, 1.28075, -2.57947, 50.3512, 100.00
2016, 02, 01, 44.6068, 0.779819, -6.30253, 50.9093, 100.00
2016, 03, 01, 48.6521, 0.857641, -0.920134, 49.5723, 100.00
2016, 04, 01, 35.1727, 0.757751, -7.85733, 43.0300, 100.00
2016, 05, 01, 31.4077, 0.780247, -5.88760, 37.2953, 100.00
2016, 06, 01, 30.2915, 0.453461, -4.07573, 34.3672, 100.00
2016, 07, 01, 37.3361, 0.707527, 1.03440, 36.3017, 100.00
2016, 08, 01, 40.5404, 0.824729, -0.625601, 41.1660, 100.00
2016, 09, 01, 50.9783, 0.569820, 3.45120, 47.5271, 100.00
2016, 10, 01, 55.8953, 0.360955, 4.42347, 51.4719, 100.00
2016, 11, 01, 51.7088, 1.30594, -0.321200, 52.0300, 100.00
2016, 12, 01, 47.8456, 1.44797, -3.93133, 51.7769, 100.00
2017, 01, 01, 49.6179, 1.46633, -0.733333, 50.3512, 100.00
2017, 02, 01, 53.0963, 0.718437, 2.18693, 50.9093, 100.00
2017, 03, 01, 48.8561, 1.06003, -0.716134, 49.5723, 100.00
2017, 04, 01, 41.0763, 1.04068, -1.95373, 43.0300, 100.00
2017, 05, 01, 39.4047, 0.592704, 2.10933, 37.2953, 100.00
2017, 06, 01, 34.0532, 0.547120, -0.314000, 34.3672, 100.00
2017, 07, 01, 36.6145, 0.281788, 0.312800, 36.3017, 100.00
2017, 08, 01, 39.5241, 0.598873, -1.64187, 41.1660, 100.00
2017, 09, 01, 47.0897, 0.597985, -0.437333, 47.5271, 100.00
2017, 10, 01, 50.1611, 1.52714, -1.31080, 51.4719, 100.00
2017, 11, 01, 52.6817, 1.14716, 0.651734, 52.0300, 100.00
2017, 12, 01, 53.7541, 0.731622, 1.97720, 51.7769, 100.00
2018, 01, 01, 51.0512, 1.12285, 0.699999, 50.3512, 100.00
2018, 02, 01, 44.4123, 1.15504, -6.49707, 50.9093, 100.00
2018, 03, 01, 50.8180, 1.21279, 1.24573, 49.5723, 100.00
2018, 04, 01, 42.3648, 0.417382, -0.665201, 43.0300, 100.00
2018, 05, 01, 37.0281, 0.609553, -0.267200, 37.2953, 100.00
2018, 06, 01, 37.2729, 0.312214, 2.90573, 34.3672, 100.00
2018, 07, 01, 37.2963, 0.473679, 0.994534, 36.3017, 100.00
2018, 08, 01, 39.9261, 0.716150, -1.23987, 41.1660, 100.00
2018, 09, 01, 45.6797, 0.892329, -1.84733, 47.5271, 100.00
2018, 10, 01, 53.1271, 2.01064, 1.65520, 51.4719, 100.00
2018, 11, 01, 53.6576, 1.15502, 1.62760, 52.0300, 100.00
2018, 12, 01, 56.7693, 0.987656, 4.99240, 51.7769, 100.00
2019, 01, 01, 51.1099, 1.00896, 0.758666, 50.3512, 100.00
2019, 02, 01, 52.4031, 0.670752, 1.49373, 50.9093, 100.00
2019, 03, 01, 47.5996, 0.787267, -1.97267, 49.5723, 100.00
2019, 04, 01, 41.1568, 0.845544, -1.87320, 43.0300, 100.00
2019, 05, 01, 35.4764, 1.18061, -1.81893, 37.2953, 100.00
2019, 06, 01, 31.2021, 0.559056, -3.16507, 34.3672, 100.00
2019, 07, 01, 35.3079, 0.299224, -0.993866, 36.3017, 100.00
2019, 08, 01, 44.1929, 0.224116, 3.02693, 41.1660, 100.00
2019, 09, 01, 46.9460, 0.556795, -0.581067, 47.5271, 100.00
2019, 10, 01, 51.8085, 0.833736, 0.336666, 51.4719, 100.00
2019, 11, 01, 45.8975, 1.17478, -6.13253, 52.0300, 100.00
2019, 12, 01, 41.8567, 0.889031, -9.92027, 51.7769, 100.00
2020, 01, 01, 56.1797, 0.930737, 5.82853, 50.3512, 100.00
2020, 02, 01, 52.7647, 0.468722, 1.85533, 50.9093, 100.00
2020, 03, 01, 52.1389, 0.353126, 2.56667, 49.5723, 100.00
2020, 04, 01, 43.4041, 0.500201, 0.374133, 43.0300, 100.00
2020, 05, 01, 37.2052, 0.605726, -0.0901337, 37.2953, 100.00
2020, 06, 01, 32.3451, 0.715144, -2.02213, 34.3672, 100.00
2020, 07, 01, 34.5955, 0.551088, -1.70627, 36.3017, 100.00
2020, 08, 01, 40.4304, 0.404089, -0.735601, 41.1660, 100.00
2020, 09, 01, 50.5181, 0.396015, 2.99107, 47.5271, 100.00
2020, 10, 01, 50.2196, 0.541881, -1.25227, 51.4719, 100.00
2020, 11, 01, 49.3929, 0.684389, -2.63707, 52.0300, 100.00
2020, 12, 01, 50.4729, 0.815469, -1.30400, 51.7769, 100.00
2021, 01, 01, 54.5173, 0.769861, 4.16613, 50.3512, 100.00
2021, 02, 01, 49.8144, 1.30189, -1.09493, 50.9093, 100.00
2021, 03, 01, 51.4763, 1.12947, 1.90400, 49.5723, 100.00
2021, 04, 01, 44.5745, 0.538528, 1.54453, 43.0300, 100.00
2021, 05, 01, 38.0053, 0.326400, 0.710000, 37.2953, 100.00
2021, 06, 01, 33.8045, 0.382494, -0.562667, 34.3672, 100.00
2021, 07, 01, 34.6159, 0.420673, -1.68587, 36.3017, 100.00
2021, 08, 01, 41.0387, 0.634757, -0.127334, 41.1660, 100.00
2021, 09, 01, 50.1375, 0.534410, 2.61040, 47.5271, 100.00
2021, 10, 01, 48.4169, 0.894702, -3.05493, 51.4719, 100.00
2021, 11, 01, 51.2897, 1.35046, -0.740267, 52.0300, 100.00
2021, 12, 01, 56.5965, 1.46810, 4.81960, 51.7769, 100.00
2022, 01, 01, 43.1948, 1.30492, -7.15640, 50.3512, 100.00
2022, 02, 01, 58.4313, 1.03238, 7.52200, 50.9093, 100.00
2022, 03, 01, 53.2884, 0.347688, 3.71613, 49.5723, 100.00
2022, 04, 01, 43.1493, 0.552075, 0.119333, 43.0300, 100.00
2022, 05, 01, 39.1055, 0.380589, 1.81013, 37.2953, 100.00
2022, 06, 01, 35.0463, 0.330031, 0.679066, 34.3672, 100.00
2022, 07, 01, 36.7492, 0.413737, 0.447467, 36.3017, 100.00
2022, 08, 01, 39.2267, 0.444806, -1.93933, 41.1660, 100.00
2022, 09, 01, 49.5272, 0.851997, 2.00013, 47.5271, 100.00
2022, 10, 01, 51.8219, 0.760937, 0.350000, 51.4719, 100.00
2022, 11, 01, 43.9764, 1.78970, -8.05360, 52.0300, 100.00
2022, 12, 01, 56.0509, 0.888852, 4.27400, 51.7769, 100.00
