time_local,time_utc,air_temp_C,data_coverage_air_temp_C,wind_stress_pa,data_coverage_wind_stress_pa,wind_direction_degtrue,data_coverage_wind_direction_degtrue,wind_U_mps,data_coverage_wind_U_mps,wind_V_mps,data_coverage_wind_V_mps,mean_solar_rad_kwpm2,data_coverage_mean_solar_rad_kwpm2,atm_press_mbar,data_coverage_atm_press_mbar,cumulative_rainfall_mm,data_coverage_cumulative_rainfall_mm
2006-11-20 00:00:00,2006-11-20 10:00:00, 25.49, 1.00, 0.0026, 1.00, 116.2, 1.00,  -0.41, 1.00,   0.20, 1.00,    0.22, 1.00, -999, 0.00,   0.0, 1.00
2006-11-21 00:00:00,2006-11-21 10:00:00, 26.25, 1.00, 0.0102, 1.00,  76.2, 1.00,  -1.30, 1.00,  -0.32, 1.00,    0.21, 1.00, -999, 0.00,   0.0, 1.00
2006-11-22 00:00:00,2006-11-22 10:00:00, 27.85, 1.00, 0.0110, 1.00,  94.5, 1.00,  -2.20, 1.00,   0.17, 1.00,    0.32, 1.00, -999, 0.00,   0.0, 1.00
2006-11-23 00:00:00,2006-11-23 10:00:00, 27.61, 1.00, 0.0144, 1.00,  75.6, 1.00,  -2.10, 1.00,  -0.54, 1.00,    0.33, 1.00, -999, 0.00,   0.0, 1.00
2006-11-24 00:00:00,2006-11-24 10:00:00, 27.10, 1.00, 0.0129, 1.00,  69.3, 1.00,  -1.70, 1.00,  -0.64, 1.00,    0.29, 1.00, -999, 0.00,   0.0, 1.00
2006-11-25 00:00:00,2006-11-25 10:00:00, 27.41, 1.00, 0.0128, 1.00,  71.6, 1.00,  -1.87, 1.00,  -0.62, 1.00,    0.31, 1.00, -999, 0.00,   0.5, 1.00
2006-11-26 00:00:00,2006-11-26 10:00:00, 27.62, 1.00, 0.0154, 1.00,  71.7, 1.00,  -2.33, 1.00,  -0.77, 1.00,    0.31, 1.00, -999, 0.00,   0.0, 1.00
2006-11-27 00:00:00,2006-11-27 10:00:00, 27.14, 1.00, 0.0098, 1.00, 100.9, 1.00,  -1.65, 1.00,   0.32, 1.00,    0.26, 1.00, -999, 0.00,   0.0, 1.00
2006-11-28 00:00:00,2006-11-28 10:00:00, 27.58, 1.00, 0.0116, 1.00,  87.6, 1.00,  -2.06, 1.00,  -0.09, 1.00,    0.31, 1.00, -999, 0.00,   0.0, 1.00
2006-11-29 00:00:00,2006-11-29 10:00:00, 27.29, 1.00, 0.0098, 1.00,  54.5, 1.00,  -1.40, 1.00,  -1.00, 1.00,    0.28, 1.00, -999, 0.00,   0.0, 1.00
2006-11-30 00:00:00,2006-11-30 10:00:00, 26.41, 1.00, 0.0097, 1.00,  35.7, 1.00,  -1.03, 1.00,  -1.43, 1.00,    0.17, 1.00, -999, 0.00,   5.1, 1.00
2006-12-01 00:00:00,2006-12-01 10:00:00, 25.95, 1.00, 0.0057, 1.00,  91.7, 1.00,  -0.53, 1.00,   0.02, 1.00,    0.14, 1.00, -999, 0.00,  13.0, 1.00
2006-12-02 00:00:00,2006-12-02 10:00:00, 25.09, 1.00, 0.0043, 1.00,  89.2, 1.00,  -0.52, 1.00,  -0.01, 1.00,    0.19, 1.00, -999, 0.00, 133.3, 1.00
2006-12-03 00:00:00,2006-12-03 10:00:00, 25.31, 1.00, 0.0026, 1.00, 237.4, 1.00,   0.09, 1.00,   0.06, 1.00,    0.13, 1.00, -999, 0.00,  75.2, 1.00
2006-12-04 00:00:00,2006-12-04 10:00:00, 24.80, 1.00, 0.0023, 1.00, 157.8, 1.00,  -0.06, 1.00,   0.15, 1.00,    0.07, 1.00, -999, 0.00,  15.7, 1.00
